iter	Passed	Remaining
402	13025	44991
403	13061	44972
404	13090	44928
405	13115	44870
406	13144	44827
407	13174	44786
408	13202	44739
409	13235	44710
410	13273	44697
411	13309	44677
412	13342	44647
413	13366	44586
414	13399	44556
415	13436	44541
416	13475	44529
417	13497	44463
418	13537	44456
419	13565	44412
420	13595	44370
421	13623	44323
422	13662	44312
423	13695	44283
424	13729	44257
425	13753	44199
426	13789	44176
427	13812	44116
428	13842	44075
429	13882	44070
430	13901	43995
431	13929	43947
432	13961	43916
433	13994	43886
434	14021	43837
435	14048	43789
436	14087	43777
437	14102	43690
438	14140	43676
439	14173	43646
440	14206	43617
441	14244	43604
442	14279	43578
443	14311	43546
444	14330	43475
445	14356	43423
446	14396	43414
447	14430	43387
448	14470	43379
449	14500	43339
450	14541	43334
451	14579	43318
452	14614	43295
453	14642	43250
454	14681	43237
455	14722	43231
456	14756	43204
457	14797	43197
458	14831	43171
459	14856	43115
460	14874	43041
461	14907	43012
462	14940	42982
463	14974	42954
464	15001	42907
465	15021	42839
466	15059	42824
467	15094	42800
468	15132	42783
469	15165	42754
470	15185	42687
471	15224	42672
472	15263	42659
473	15286	42601
474	15327	42594
475	15368	42586
476	15400	42552
477	15433	42523
478	15462	42481
479	15499	42462
480	15524	42410
481	15561	42389
482	15598	42370
483	15622	42316
484	15663	42307
485	15701	42290
486	15739	42274
487	15774	42248
488	15816	42241
489	15833	42169
490	15856	42112
491	15893	42092
492	15934	42081
493	15967	42051
494	15995	42007
495	16039	42005
496	16074	41982
497	16111	41961
498	16137	41911
499	16177	41899
500	16213	41876
501	16249	41853
502	16286	41834
503	16322	41811
504	16363	41798
505	16397	41770
506	16426	41729
507	16460	41702
508	16482	41642
509	16518	41619
510	16554	41596
511	16590	41574
512	16617	41527
513	16650	41495
514	16682	41463
515	16713	41427
516	16741	41383
517	16763	41326
518	16798	41301
519	16826	41258
520	16849	41200
521	16883	41174
522	16921	41154
523	16961	41141
524	16997	41118
525	17028	41083
526	17067	41066
527	17100	41034
528	17124	40981
529	17160	40959
530	17201	40946
531	17236	40921
532	17268	40888
533	17294	40839
534	17334	40826
535	17371	40803
536	17405	40775
537	17432	40730
538	17471	40712
539	17502	40678
540	17530	40633
541	17566	40609
542	17606	40595
543	17634	40553
544	17673	40535
545	17708	40509
546	17736	40466
547	17773	40444
548	17813	40428
549	17836	40375
550	17868	40342
551	17905	40319
552	17933	40277
553	17972	40260
554	18006	40230
555	18039	40199
556	18074	40172
557	18101	40127
558	18133	40093
559	18162	40054
560	18194	40020
561	18226	39987
562	18266	39971
563	18300	39942
564	18338	39922
565	18374	39898
566	18403	39857
567	18427	39806
568	18461	39778
569	18495	39748
570	18524	39710
571	18562	39688
572	18596	39659
573	18636	39642
574	18673	39619
575	18709	39595
576	18745	39570
577	18778	39538
578	18806	39497
579	18840	39468
580	18879	39447
581	18922	39438
582	18951	39399
583	18979	39357
584	19016	39333
585	19050	39304
586	19094	39295
587	19128	39266
588	19150	39211
589	19185	39183
590	19223	39162
591	19262	39142
592	19284	39089
593	19316	39055
594	19354	39034
595	19392	39012
596	19432	38995
597	19470	38972
598	19507	38949
599	19545	38928
600	19578	38897
601	19593	38829
602	19632	38809
603	19673	38793
604	19699	38747
605	19731	38714
606	19772	38697
607	19802	38661
608	19829	38617
609	19861	38583
610	19883	38530
611	19918	38503
612	19950	38468
613	19990	38451
614	20028	38428
615	20061	38397
616	20097	38371
617	20131	38341
618	20152	38287
619	20186	38256
620	20226	38237
621	20269	38224
622	20292	38175
623	20329	38150
624	20366	38126
625	20403	38101
626	20430	38058
627	20466	38032
628	20507	38015
629	20535	37974
630	20573	37951
631	20604	37916
632	20644	37896
633	20680	37870
634	20701	37817
635	20737	37790
636	20775	37766
637	20807	37733
638	20839	37700
639	20875	37673
640	20904	37634
641	20947	37619
642	20985	37597
643	21025	37578
644	21063	37554
645	21104	37537
646	21140	37511
647	21178	37486
648	21212	37457
649	21252	37436
650	21277	37390
651	21314	37366
652	21342	37324
653	21374	37290
654	21400	37246
655	21436	37219
656	21472	37193
657	21510	37168
658	21548	37145
659	21586	37121
660	21626	37101
661	21665	37080
662	21701	37053
663	21737	37025
664	21774	36999
665	21808	36969
666	21843	36940
667	21877	36910
668	21914	36884
669	21941	36842
670	21965	36795
671	22005	36774
672	22048	36758
673	22072	36711
674	22108	36683
675	22140	36649
676	22177	36623
677	22210	36591
678	22245	36562
679	22280	36532
680	22318	36509
681	22353	36480
682	22382	36440
683	22415	36409
684	22452	36383
685	22483	36347
686	22522	36325
687	22560	36300
688	22590	36263
689	22626	36235
690	22668	36216
691	22692	36170
692	22728	36142
693	22762	36112
694	22794	36077
695	22832	36052
696	22869	36026
697	22903	35995
698	22940	35969
699	22961	35917
700	22999	35893
701	23029	35855
702	23062	35823
703	23101	35800
704	23128	35758
705	23158	35722
706	23198	35700
707	23241	35682
708	23280	35659
709	23320	35637
710	23359	35613
711	23396	35587
712	23421	35542
713	23455	35511
714	23490	35482
715	23516	35438
716	23547	35403
717	23580	35370
718	23616	35342
719	23649	35309
720	23681	35275
721	23718	35249
722	23754	35221
723	23781	35178
724	23816	35149
725	23849	35117
726	23884	35087
727	23905	35036
728	23935	35000
729	23962	34958
730	24002	34936
731	24032	34900
732	24067	34869
733	24101	34838
734	24132	34802
735	24157	34759
736	24184	34717
737	24222	34692
738	24254	34659
739	24288	34627
740	24325	34601
741	24353	34561
742	24390	34533
743	24428	34508
744	24465	34481
745	24499	34450
746	24521	34402
747	24552	34367
748	24587	34336
749	24621	34306
750	24654	34273
751	24688	34242
752	24715	34200
753	24754	34177
754	24791	34149
755	24825	34119
756	24865	34095
757	24902	34068
758	24938	34039
759	24981	34021
760	25014	33988
761	25044	33951
762	25086	33930
763	25123	33903
764	25165	33882
765	25196	33847
766	25229	33814
767	25263	33783
768	25288	33740
769	25323	33709
770	25358	33679
771	25387	33642
772	25421	33609
773	25453	33575
774	25486	33543
775	25522	33514
776	25563	33493
777	25599	33463
778	25637	33437
779	25669	33402
780	25700	33368
781	25728	33328
782	25758	33292
783	25786	33252
784	25826	33228
785	25859	33196
786	25895	33166
787	25920	33124
788	25958	33098
789	25993	33067
790	26026	33035
791	26053	32994
792	26092	32969
793	26125	32936
794	26162	32909
795	26194	32874
796	26230	32846
797	26264	32813
798	26296	32779
799	26335	32754
800	26345	32693
801	26383	32666
802	26417	32635
803	26457	32610
804	26493	32581
805	26533	32557
806	26571	32531
807	26608	32503
808	26638	32467
809	26678	32442
810	26721	32421
811	26748	32381
812	26787	32356
813	26826	32329
814	26864	32303
815	26901	32275
816	26932	32240
817	26966	32208
818	26999	32174
819	27036	32146
820	27067	32111
821	27103	32082
822	27138	32051
823	27174	32022
824	27212	31994
825	27250	31968
826	27285	31937
827	27322	31909
828	27363	31886
829	27404	31862
830	27445	31837
831	27480	31806
832	27515	31776
833	27555	31752
834	27586	31716
835	27620	31684
836	27646	31642
837	27682	31613
838	27714	31579
839	27746	31545
840	27775	31507
841	27801	31466
842	27836	31435
843	27871	31405
844	27904	31371
845	27941	31343
846	27982	31319
847	28004	31273
848	28039	31242
849	28073	31210
850	28102	31173
851	28135	31140
852	28175	31114
853	28198	31071
854	28233	31040
855	28263	31004
856	28295	30969
857	28327	30935
858	28363	30905
859	28394	30870
860	28422	30831
861	28459	30803
862	28498	30777
863	28538	30751
864	28576	30723
865	28615	30697
866	28630	30644
867	28665	30613
868	28699	30581
869	28732	30549
870	28769	30520
871	28794	30478
872	28833	30451
873	28869	30422
874	28908	30395
875	28940	30361
876	28976	30330
877	29004	30292
878	29038	30260
879	29074	30231
880	29116	30207
881	29156	30181
882	29191	30150
883	29226	30119
884	29266	30093
885	29303	30064
886	29341	30036
887	29377	30005
888	29411	29974
889	29447	29944
890	29483	29913
891	29516	29880
892	29544	29841
893	29578	29810
894	29608	29773
895	29645	29745
896	29678	29711
897	29713	29680
898	29746	29647
899	29781	29616
900	29823	29591
901	29860	29562
902	29902	29538
903	29939	29508
904	29978	29481
905	30017	29454
906	30051	29421
907	30085	29389
908	30120	29358
909	30157	29329
910	30191	29296
911	30225	29264
912	30259	29232
913	30287	29194
914	30316	29156
915	30347	29121
916	30386	29093
917	30423	29064
918	30463	29037
919	30500	29008
920	30530	28972
921	30566	28941
922	30602	28911
923	30636	28879
924	30665	28842
925	30694	28805
926	30729	28773
927	30763	28741
928	30798	28710
929	30840	28684
930	30874	28652
931	30913	28625
932	30947	28592
933	30979	28558
934	31021	28532
935	31054	28500
936	31087	28466
937	31128	28439
938	31161	28406
939	31190	28370
940	31227	28340
941	31259	28305
942	31288	28269
943	31321	28235
944	31358	28205
945	31392	28173
946	31425	28140
947	31460	28109
948	31498	28079
949	31529	28044
950	31566	28014
951	31604	27986
952	31638	27953
953	31676	27924
954	31712	27893
955	31752	27866
956	31783	27831
957	31823	27803
958	31858	27772
959	31899	27745
960	31934	27713
961	31970	27683
962	31989	27637
963	32026	27607
964	32059	27574
965	32088	27537
966	32125	27507
967	32165	27480
968	32207	27454
969	32242	27422
970	32281	27394
971	32315	27361
972	32354	27333
973	32393	27304
974	32425	27270
975	32465	27242
976	32495	27207
977	32531	27176
978	32574	27150
979	32611	27120
980	32651	27092
981	32688	27062
982	32726	27033
983	32763	27002
984	32801	26973
985	32841	26945
986	32878	26915
987	32917	26887
988	32955	26857
989	32992	26827
990	33030	26797
991	33067	26767
992	33105	26737
993	33148	26712
994	33183	26680
995	33220	26650
996	33253	26616
997	33286	26582
998	33310	26541
999	33342	26507
1000	33367	26467
1001	33405	26437
1002	33441	26406
1003	33475	26373
1004	33512	26342
1005	33540	26305
1006	33575	26273
1007	33613	26243
1008	33655	26217
1009	33689	26184
1010	33729	26155
1011	33766	26125
1012	33804	26095
1013	33838	26062
1014	33870	26028
1015	33897	25990
1016	33939	25963
1017	33977	25933
1018	34018	25906
1019	34056	25876
1020	34092	25845
1021	34129	25814
1022	34167	25784
1023	34207	25755
1024	34247	25727
1025	34286	25698
1026	34323	25667
1027	34358	25635
1028	34397	25605
1029	34430	25572
1030	34471	25544
1031	34510	25514
1032	34548	25485
1033	34591	25458
1034	34630	25429
1035	34666	25397
1036	34706	25369
1037	34746	25340
1038	34781	25307
1039	34822	25279
1040	34852	25243
1041	34890	25213
1042	34929	25184
1043	34967	25153
1044	35006	25124
1045	35043	25093
1046	35083	25064
1047	35121	25033
1048	35158	25002
1049	35195	24971
1050	35232	24940
1051	35267	24908
1052	35292	24869
1053	35325	24834
1054	35363	24804
1055	35400	24773
1056	35443	24746
1057	35480	24715
1058	35504	24675
1059	35543	24645
1060	35582	24615
1061	35619	24585
1062	35661	24557
1063	35698	24526
1064	35731	24491
1065	35769	24461
1066	35813	24434
1067	35850	24403
1068	35891	24375
1069	35930	24345
1070	35964	24311
1071	35990	24273
1072	36030	24244
1073	36066	24212
1074	36103	24181
1075	36141	24150
1076	36181	24120
1077	36220	24091
1078	36260	24061
1079	36301	24032
1080	36340	24003
1081	36375	23970
1082	36414	23940
1083	36452	23909
1084	36495	23881
1085	36533	23850
1086	36565	23816
1087	36602	23784
1088	36646	23758
1089	36686	23728
1090	36716	23692
1091	36753	23661
1092	36792	23630
1093	36832	23601
1094	36873	23571
1095	36914	23543
1096	36949	23510
1097	36985	23477
1098	37023	23447
1099	37058	23414
1100	37099	23385
1101	37132	23351
1102	37165	23316
1103	37202	23285
1104	37238	23252
1105	37277	23222
1106	37318	23193
1107	37358	23163
1108	37391	23129
1109	37427	23097
1110	37449	23056
1111	37487	23024
1112	37531	22997
1113	37567	22965
1114	37607	22935
1115	37647	22905
1116	37686	22874
1117	37717	22839
1118	37757	22809
1119	37794	22778
1120	37834	22748
1121	37861	22710
1122	37897	22677
1123	37934	22645
1124	37972	22614
1125	38015	22586
1126	38049	22553
1127	38092	22524
1128	38128	22492
1129	38168	22461
1130	38210	22432
1131	38244	22399
1132	38282	22367
1133	38327	22340
1134	38368	22311
1135	38399	22275
1136	38437	22244
1137	38473	22211
1138	38516	22183
1139	38551	22149
1140	38590	22119
1141	38623	22084
1142	38664	22055
1143	38699	22022
1144	38732	21988
1145	38769	21955
1146	38805	21923
1147	38844	21892
1148	38883	21861
1149	38920	21829
1150	38955	21795
1151	38989	21762
1152	39019	21726
1153	39058	21695
1154	39099	21665
1155	39138	21634
1156	39174	21601
1157	39213	21570
1158	39254	21541
1159	39289	21507
1160	39329	21477
1161	39366	21444
1162	39402	21412
1163	39441	21381
1164	39467	21343
1165	39505	21311
1166	39542	21278
1167	39578	21246
1168	39614	21213
1169	39654	21183
1170	39693	21151
1171	39733	21121
1172	39766	21086
1173	39806	21056
1174	39840	21022
1175	39869	20985
1176	39908	20954
1177	39943	20921
1178	39977	20887
1179	40015	20855
1180	40054	20824
1181	40094	20793
1182	40133	20762
1183	40172	20731
1184	40208	20698
1185	40230	20657
1186	40266	20625
1187	40305	20593
1188	40344	20562
1189	40383	20531
1190	40415	20495
1191	40453	20464
1192	40498	20435
1193	40535	20403
1194	40569	20369
1195	40604	20336
1196	40638	20302
1197	40666	20265
1198	40702	20232
1199	40735	20198
1200	40776	20167
1201	40818	20137
1202	40858	20106
1203	40887	20070
1204	40928	20039
1205	40964	20006
1206	41006	19976
1207	41042	19943
1208	41083	19912
1209	41122	19881
1210	41160	19849
1211	41202	19819
1212	41240	19787
1213	41279	19755
1214	41319	19724
1215	41354	19691
1216	41391	19658
1217	41429	19626
1218	41471	19595
1219	41513	19565
1220	41553	19534
1221	41592	19502
1222	41630	19470
1223	41670	19439
1224	41702	19404
1225	41720	19362
1226	41759	19330
1227	41797	19298
1228	41824	19261
1229	41861	19228
1230	41895	19195
1231	41929	19160
1232	41966	19128
1233	42003	19095
1234	42038	19061
1235	42072	19027
1236	42114	18997
1237	42155	18966
1238	42187	18931
1239	42221	18897
1240	42256	18863
1241	42297	18832
1242	42337	18801
1243	42376	18769
1244	42417	18738
1245	42456	18706
1246	42494	18674
1247	42528	18640
1248	42564	18606
1249	42604	18575
1250	42646	18545
1251	42683	18512
1252	42722	18480
1253	42760	18447
1254	42798	18415
1255	42839	18384
1256	42863	18345
1257	42902	18313
1258	42937	18280
1259	42976	18248
1260	43015	18216
1261	43051	18182
1262	43094	18152
1263	43133	18120
1264	43168	18086
1265	43206	18054
1266	43247	18022
1267	43283	17989
1268	43321	17956
1269	43359	17924
1270	43401	17893
1271	43439	17860
1272	43479	17829
1273	43520	17797
1274	43557	17764
1275	43596	17732
1276	43631	17698
1277	43669	17665
1278	43708	17633
1279	43746	17601
1280	43783	17567
1281	43821	17535
1282	43858	17502
1283	43897	17469
1284	43929	17435
1285	43966	17402
1286	44007	17370
1287	44043	17336
1288	44085	17305
1289	44124	17273
1290	44167	17242
1291	44201	17208
1292	44233	17173
1293	44268	17139
1294	44304	17105
1295	44348	17075
1296	44389	17043
1297	44433	17013
1298	44473	16981
1299	44511	16948
1300	44553	16917
1301	44590	16884
1302	44625	16850
1303	44663	16817
1304	44697	16782
1305	44731	16748
1306	44761	16712
1307	44797	16679
1308	44829	16644
1309	44865	16610
1310	44901	16576
1311	44936	16543
1312	44971	16508
1313	45014	16477
1314	45056	16446
1315	45098	16414
1316	45138	16382
1317	45176	16350
1318	45215	16317
1319	45255	16284
1320	45296	16253
1321	45336	16221
1322	45374	16188
1323	45414	16155
1324	45455	16123
1325	45496	16092
1326	45531	16057
1327	45567	16024
1328	45605	15991
1329	45645	15958
1330	45681	15924
1331	45718	15891
1332	45761	15860
1333	45801	15827
1334	45838	15794
1335	45876	15761
1336	45913	15728
1337	45949	15694
1338	45990	15662
1339	46022	15626
1340	46059	15593
1341	46099	15561
1342	46145	15530
1343	46182	15497
1344	46222	15464
1345	46249	15427
1346	46290	15395
1347	46327	15362
1348	46358	15326
1349	46397	15293
1350	46435	15260
1351	46472	15227
1352	46510	15194
1353	46551	15161
1354	46590	15128
1355	46623	15094
1356	46662	15061
1357	46702	15028
1358	46743	14996
1359	46779	14962
1360	46816	14928
1361	46855	14895
1362	46889	14861
1363	46931	14829
1364	46970	14796
1365	47003	14761
1366	47042	14728
1367	47084	14696
1368	47121	14663
1369	47164	14631
1370	47206	14599
1371	47243	14565
1372	47283	14532
1373	47328	14501
1374	47371	14469
1375	47410	14436
1376	47447	14403
1377	47482	14368
1378	47521	14335
1379	47556	14301
1380	47597	14268
1381	47636	14235
1382	47673	14202
1383	47713	14169
1384	47744	14133
1385	47787	14101
1386	47824	14067
1387	47862	14034
1388	47903	14001
1389	47942	13968
1390	47983	13936
1391	48025	13903
1392	48060	13869
1393	48098	13836
1394	48130	13800
1395	48156	13764
1396	48197	13731
1397	48236	13697
1398	48277	13665
1399	48314	13631
1400	48329	13591
1401	48361	13556
1402	48397	13522
1403	48439	13489
1404	48477	13456
1405	48516	13423
1406	48551	13388
1407	48590	13355
1408	48630	13322
1409	48672	13290
1410	48708	13256
1411	48750	13223
1412	48788	13189
1413	48825	13155
1414	48856	13120
1415	48896	13087
1416	48934	13053
1417	48968	13019
1418	49006	12985
1419	49041	12951
1420	49081	12917
1421	49120	12884
1422	49158	12851
1423	49197	12817
1424	49235	12783
1425	49272	12749
1426	49313	12717
1427	49353	12683
1428	49389	12649
1429	49431	12617
1430	49469	12583
